400211	ROM	1989-07-25 01:47:12	38.38	15.51	125.9	1.6	1	
400131	ISC	1989-07-24 03:27:49	36.08	71.09	90.2	5.9	1	AFGHAN1989
399855	ISC	1989-07-21 03:09:16	29.97	99.52	23.9	5.6	1	
399601	ROM	1989-07-18 05:08:55	38.51	14.77	17.1	2.4	1	
399538	ROM	1989-07-17 13:57:25	37.59	16.42	23.8	2.2	1	
398796	ISC	1989-07-09 20:07:47	57.14	122.26	35.0	4.4	1	
398598	ISC	1989-07-09 02:09:55	35.00	139.12	9.5	4.2	3	OFFIZUPEN1989C
398597	ISC	1989-07-09 02:09:12	35.02	139.17	14.3	5.2	25	OFFIZUPEN1989B
398312	ISC	1989-07-08 03:46:58	49.88	78.68	0.0	4.5	10	KAZAKHSTAN-UNE1989D
397959	ISC	1989-07-06 15:01:45	34.97	139.19	24.2	4.9	3	OFFIZUPEN1989E
397257	ISC	1989-07-04 17:28:21	34.98	139.17	10.0	4.4	3	OFFIZUPEN1989D
403343	ISC	1989-06-30 16:24:02	35.47	139.02	18.6	4.6	14	OFFIZUPEN1989A
403080	ISC	1989-06-27 15:30:00	37.23	-116.33	0.0	4.9	6	AMARILLOTEST1989
402951	ISC	1989-06-26 03:27:06	19.35	-155.10	3.2	6.4	12	KILAUEA1989
402930	ISC	1989-06-25 20:37:34	1.17	-79.52	22.9	6.3	1	
402810	ISC	1989-06-24 12:58:40	-28.31	-66.26	21.9	5.5	1	CATAMARCA1989
402769	ISC	1989-06-24 03:09:57	36.72	35.88	21.8	5.1	1	
402767	ROM	1989-06-24 02:34:18	37.83	14.78	5.8	2.7	1	
402661	ISC	1989-06-22 21:15:00	37.27	-116.40	0.0	4.9	7	CONTACTTEST1989
402650	ROM	1989-06-22 16:31:30	38.20	15.05	10.5	2.1	1	
402564	ROM	1989-06-21 16:46:21	38.21	15.09	12.1	2.2	1	
402506	BRK	1989-06-21 00:59:18	37.61	-119.06	7.0	3.4	6	MAMMOTH1989
402425	ROM	1989-06-19 21:22:18	37.82	16.23	47.3	2.1	1	
402022	ISC	1989-06-15 07:13:11	40.07	70.90	39.0	4.1	1	
401774	ISC	1989-06-12 00:04:12	21.89	89.83	14.4	5.8	2	BANGLADESH1989
401677	ISC	1989-06-10 17:29:58	-22.20	-138.72	0.0	5.6	5	MURUROATEST1989A
401593	ISC	1989-06-09 14:46:09	29.27	102.32	33.7	4.6	2	SICHUAN1989A
401016	ISC	1989-06-03 17:29:59	-21.90	-139.00	0.0	5.3	4	
406193	ISC	1989-05-31 05:54:23	-45.27	166.97	26.9	6.4	4	DSOUND1989
